"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"SEP 2003",4.00,3.60,3.80,4.20,3.80,3.70,5.20,4.10,4.40,4.00,4.30
"DIC 2003",4.10,3.60,3.70,4.20,3.80,3.60,5.20,4.10,4.40,4.10,4.30
"MAR 2004",3.70,3.50,3.50,3.70,3.70,3.40,4.20,3.70,3.70,3.70,3.50
"JUN 2004",3.70,3.50,3.50,3.70,3.60,3.40,4.50,3.70,3.70,3.70,3.50
"SEP 2004",3.70,3.60,3.50,3.80,3.60,3.40,4.60,3.70,3.70,3.70,3.50
"DIC 2004",3.70,3.60,3.50,3.80,3.60,3.20,4.70,3.70,3.80,3.70,3.60
"MAR 2005",3.60,3.70,3.50,3.60,3.20,3.10,4.20,3.60,3.10,3.60,3.30
"JUN 2005",3.60,3.70,3.50,3.60,3.20,3.00,4.30,3.70,3.00,3.60,3.30
"SEP 2005",3.60,3.60,3.60,3.60,3.30,3.00,4.30,3.70,3.00,3.60,3.30
"DIC 2005",3.60,3.50,3.60,3.70,3.40,3.00,4.30,3.70,3.20,3.60,3.50
"MAR 2006",3.60,3.50,3.60,3.70,3.30,3.20,5.60,3.60,3.10,3.60,3.30
"JUN 2006",3.70,3.60,3.70,3.80,3.30,3.30,5.60,3.70,3.10,3.70,3.40
"SEP 2006",3.80,3.60,3.90,3.90,3.50,3.40,5.60,3.80,3.20,3.80,3.60
"DIC 2006",3.90,3.70,3.90,4.00,3.60,3.40,5.60,4.00,3.20,3.90,3.90
"MAR 2007",4.20,3.90,4.30,4.40,4.10,3.60,5.50,4.40,3.60,4.20,4.00
"JUN 2007",4.30,4.10,4.20,4.40,4.10,3.70,5.40,4.40,3.80,4.30,4.10
"SEP 2007",4.40,4.10,4.50,4.50,4.30,3.80,5.50,4.50,4.10,4.40,4.20
"DIC 2007",4.50,4.30,4.50,4.60,4.50,3.90,5.60,4.60,4.20,4.50,4.50
"MAR 2008",4.90,4.50,4.80,5.00,4.70,4.00,6.10,5.00,5.40,4.90,5.00
"JUN 2008",5.00,4.60,4.90,5.00,4.40,4.10,6.10,5.10,5.80,5.00,4.90
"SEP 2008",5.00,4.70,4.90,5.10,4.50,4.00,6.10,5.20,5.80,5.00,5.00
"DIC 2008",5.10,4.80,4.80,5.10,4.60,4.00,6.00,5.20,5.90,5.10,5.20
"MAR 2009",3.70,4.10,3.50,3.70,4.20,3.00,4.80,3.70,3.20,3.70,5.00
"JUN 2009",3.50,3.90,3.40,3.50,3.60,2.80,4.60,3.50,3.00,3.50,4.70
"SEP 2009",3.40,3.80,3.40,3.30,3.40,2.70,4.50,3.30,2.90,3.40,4.60
"DIC 2009",3.30,3.70,3.30,3.30,3.40,2.70,4.70,3.20,2.90,3.30,4.60
"MAR 2010",3.00,3.40,3.00,2.90,3.00,2.10,4.60,3.00,3.10,3.00,3.20
"JUN 2010",3.20,3.60,3.20,3.10,3.10,2.10,4.80,3.20,3.10,3.20,3.20
"SEP 2010",3.20,3.50,3.30,3.10,3.20,2.20,4.70,3.20,3.20,3.20,3.30
"DIC 2010",3.20,3.50,3.30,3.10,3.30,2.10,4.40,3.30,3.10,3.20,3.60
"MAR 2011",3.40,3.40,3.40,3.40,3.80,2.40,4.30,3.60,4.50,3.40,2.40
"JUN 2011",3.50,3.50,3.40,3.50,3.60,2.50,4.30,3.70,4.40,3.50,2.80
"SEP 2011",3.50,3.50,3.50,3.50,3.60,2.60,4.10,3.80,4.40,3.50,3.00
"DIC 2011",3.60,3.50,3.50,3.60,3.70,2.80,4.00,3.80,4.60,3.60,3.20
"MAR 2012",3.60,3.80,3.00,3.50,3.70,2.70,2.90,3.80,4.20,3.60,3.70
"JUN 2012",3.60,3.70,2.90,3.60,3.40,2.60,3.00,3.90,4.00,3.60,3.70
"SEP 2012",3.50,3.80,2.80,3.50,3.40,2.50,2.90,3.80,3.90,3.50,3.60
"DIC 2012",3.50,3.80,3.00,3.50,3.40,2.50,3.00,3.80,3.90,3.50,3.70
"MAR 2013",3.40,3.80,3.70,3.20,4.20,2.10,2.20,3.50,3.30,3.40,3.10
"JUN 2013",3.40,3.70,3.70,3.20,3.70,2.10,2.40,3.50,3.40,3.40,3.10
"SEP 2013",3.40,3.60,3.80,3.30,3.80,2.10,2.40,3.60,3.50,3.40,3.20
"DIC 2013",3.40,3.60,3.60,3.40,3.80,2.40,2.60,3.60,3.80,3.40,3.30
"MAR 2014",3.30,3.60,2.60,3.30,4.20,2.30,4.20,3.50,3.60,3.30,2.80
"JUN 2014",3.40,3.60,2.70,3.40,4.00,2.30,4.20,3.60,3.50,3.40,2.90
