"CÓDIGO DE LA SERIE",DCBTRENERAB.T,DCBTRENERAE.T,DCBTRENERAB_D091CR.T,DCBTRENERAE_D091CR.T,DCBTRENERAB_D092SR.T,DCBTRENERAE_D092SR.T,DCBTRENERAB_D0931.T,DCBTRENERAE_D0931.T,DCBTRENERAB_D0933.T,DCBTRENERAE_D0933.T,DCBTRENERAB_TS250.T,DCBTRENERAE_TS250.T
"DIC 2006",525.90,491.20,423.50,376.00,306.60,321.50,200.10,219.90,121.80,69.50,534.80,498.40
"MAR 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2007","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2007",498.30,499.30,370.70,424.40,318.70,403.80,211.50,248.30,70.10,55.90,502.60,503.10
"MAR 2008","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2008","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2008","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2008",524.20,571.20,397.10,437.50,438.90,597.10,215.30,234.40,123.70,118.60,526.60,565.00
"MAR 2009","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2009","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2009","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2009",571.60,660.10,440.10,500.70,585.00,880.10,218.90,280.80,113.90,115.20,564.90,635.60
"MAR 2010","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2010","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2010","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2010",661.20,648.30,520.10,527.70,1042.20,690.10,272.90,240.80,105.20,111.40,636.70,645.40
"MAR 2011","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2011","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2011","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2011",649.30,643.80,552.90,547.40,611.80,560.70,240.10,247.70,120.10,84.70,645.20,638.10
"MAR 2012","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2012","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2012","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2012",633.40,647.00,517.90,445.20,521.00,558.80,257.00,293.00,83.80,79.80,634.90,648.40
"MAR 2013","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2013","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2013","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2013",612.30,594.10,451.50,434.80,490.60,627.90,255.60,258.20,108.80,117.40,613.40,594.90
"MAR 2014","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2014","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2014","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2014",577.50,629.20,432.90,484.00,537.10,578.80,282.20,279.80,87.60,116.90,577.50,629.60
"MAR 2015","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2015","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2015","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2015",634.80,603.80,485.20,473.50,561.00,328.30,283.40,261.80,115.80,150.70,635.60,604.80
"MAR 2016","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2016","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2016","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2016",589.20,546.40,466.50,445.00,340.30,290.30,262.10,212.30,154.60,129.60,590.30,547.60
"MAR 2017","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2017","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2017","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2017",550.40,539.50,445.80,487.20,289.60,250.80,216.50,230.30,130.00,133.40,551.60,541.00
"MAR 2018","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2018","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2018","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2018",527.50,504.90,417.10,322.50,249.70,261.50,206.40,192.20,132.00,150.30,529.10,506.60
"MAR 2019","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2019","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2019","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2019",504.40,509.70,320.50,305.00,260.80,283.80,188.30,184.70,150.30,146.50,505.30,510.80
"MAR 2020","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2020","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2020","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2020",511.30,819.00,308.10,353.20,272.10,614.60,181.80,298.70,151.80,235.60,511.70,820.80
"MAR 2021","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2021","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2021","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2021",794.90,787.50,360.40,503.70,599.60,381.60,301.80,283.50,237.40,287.10,796.70,790.40
"MAR 2022","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2022","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2022","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2022",791.50,567.80,500.00,434.00,368.50,267.00,300.30,210.80,283.30,257.30,795.40,569.10
"MAR 2023","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2023","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2023","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2023",576.80,504.30,451.70,286.80,265.60,320.70,209.70,186.20,256.60,203.30,577.30,505.10
"MAR 2024","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2024","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2024","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2024",507.30,490.20,290.40,256.50,318.40,326.00,183.60,145.30,202.40,192.90,507.80,490.90
"MAR 2025",478.60,493.50,254.40,252.20,305.30,335.30,138.80,138.80,192.70,209.90,479.10,494.70
"JUN 2025",494.40,494.00,252.20,251.90,340.40,405.10,138.80,143.40,200.60,188.60,495.50,495.10
"SEP 2025",495.00,488.30,251.60,243.10,405.60,365.30,141.70,132.60,188.70,194.50,496.40,489.70
"DIC 2025",490.40,480.30,241.00,252.90,371.50,337.40,125.50,121.90,199.80,226.60,491.80,481.80
"FUENTE","","","","","","","","","","","",""
"NOTAS","","","","","","","","","","","",""
