"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"DIC 2018",48.80,71.90,46.50,44.30,38.40,53.60,61.80,1.10,14.30,49.00,32.70
"MAR 2019",47.50,77.20,43.60,40.80,38.00,44.00,58.90,2.50,12.90,47.70,22.90
"JUN 2019",48.10,76.50,42.60,43.10,37.70,50.20,59.80,5.80,9.10,48.30,29.10
"SEP 2019",49.00,77.00,41.40,44.60,38.70,52.70,60.50,7.80,7.30,49.20,31.20
"DIC 2019",48.80,76.80,41.50,44.40,39.70,51.20,61.10,4.90,6.50,49.00,30.70
"MAR 2020",39.90,76.60,18.70,33.70,26.90,30.50,61.90,0.70,3.70,40.10,23.00
"JUN 2020",36.90,75.00,15.30,29.70,27.10,16.80,59.60,-6.10,7.10,37.00,26.40
"SEP 2020",38.50,75.10,20.90,31.20,30.40,17.50,60.40,-7.90,8.60,38.60,27.30
"DIC 2020",38.90,75.70,24.00,30.90,30.80,16.80,59.60,-5.70,10.90,39.00,27.20
"MAR 2021",41.20,76.30,44.00,28.00,31.50,2.60,54.90,-4.10,8.90,41.40,24.70
"JUN 2021",42.00,75.30,44.60,30.70,33.30,15.50,55.20,-6.50,11.00,42.20,27.60
"SEP 2021",43.90,76.30,44.10,33.90,36.20,24.90,55.40,-2.80,11.70,44.10,28.50
"DIC 2021",44.30,77.60,43.00,34.00,36.00,28.50,54.30,-4.90,13.10,44.50,28.90
"MAR 2022",45.00,73.50,51.70,35.70,42.60,17.50,53.60,0.10,17.80,45.20,29.30
"JUN 2022",49.50,75.70,60.40,38.20,41.60,31.20,55.00,3.80,18.60,49.70,29.90
"SEP 2022",51.30,81.90,55.10,39.90,42.20,36.90,55.70,4.30,19.00,51.50,30.00
"DIC 2022",51.40,83.30,52.50,40.00,40.00,39.90,55.90,8.40,18.50,51.70,30.80
